iter	Passed	Remaining
444	1253	1563
445	1256	1560
446	1258	1556
447	1260	1553
448	1263	1549
449	1266	1548
450	1268	1544
451	1271	1541
452	1273	1537
453	1275	1534
454	1278	1531
455	1280	1527
456	1282	1523
457	1285	1521
458	1287	1517
459	1289	1513
460	1291	1510
461	1293	1506
462	1296	1503
463	1298	1500
464	1300	1496
465	1302	1492
466	1304	1489
467	1307	1486
468	1309	1482
469	1311	1479
470	1314	1476
471	1317	1474
472	1320	1470
473	1323	1468
474	1325	1465
475	1328	1462
476	1331	1459
477	1333	1456
478	1336	1453
479	1338	1450
480	1340	1446
481	1343	1443
482	1345	1440
483	1347	1437
484	1350	1433
485	1354	1432
486	1357	1429
487	1359	1426
488	1362	1423
489	1364	1420
490	1367	1417
491	1370	1414
492	1372	1411
493	1374	1408
494	1383	1411
495	1385	1408
496	1388	1405
497	1390	1401
498	1392	1398
499	1394	1394
500	1397	1391
501	1399	1388
502	1401	1384
503	1406	1383
504	1408	1380
505	1413	1379
506	1415	1376
507	1418	1373
508	1420	1370
509	1423	1367
510	1425	1364
511	1430	1363
512	1434	1361
513	1436	1358
514	1439	1355
515	1442	1352
516	1444	1349
517	1447	1346
518	1449	1343
519	1451	1340
520	1454	1337
521	1456	1333
522	1458	1330
523	1461	1327
524	1463	1324
525	1465	1320
526	1470	1319
527	1473	1317
528	1475	1314
529	1478	1310
530	1480	1307
531	1482	1304
532	1484	1301
533	1487	1297
534	1489	1294
535	1492	1292
536	1498	1292
537	1500	1288
538	1502	1285
539	1504	1281
540	1507	1278
541	1509	1275
542	1511	1272
543	1513	1268
544	1515	1265
545	1517	1262
546	1522	1260
547	1524	1257
548	1532	1258
549	1534	1255
550	1537	1252
551	1539	1249
552	1542	1246
553	1544	1243
554	1548	1241
555	1550	1238
556	1553	1235
557	1556	1232
558	1558	1229
559	1560	1225
560	1562	1222
561	1564	1219
562	1566	1216
563	1569	1213
564	1571	1209
565	1573	1206
566	1576	1203
567	1579	1201
568	1581	1197
569	1583	1194
570	1585	1191
571	1587	1187
572	1590	1185
573	1593	1182
574	1595	1179
575	1597	1176
576	1599	1172
577	1601	1169
578	1603	1165
579	1605	1162
580	1607	1159
581	1611	1157
582	1613	1153
583	1615	1150
584	1617	1147
585	1619	1144
586	1621	1140
587	1623	1137
588	1627	1135
589	1631	1133
590	1634	1130
591	1636	1127
592	1638	1124
593	1640	1121
594	1642	1117
595	1644	1114
596	1646	1111
597	1648	1108
598	1650	1104
599	1652	1101
600	1656	1099
601	1659	1097
602	1664	1096
603	1667	1093
604	1669	1090
605	1671	1086
606	1673	1083
607	1675	1080
608	1678	1077
609	1681	1074
610	1684	1072
611	1686	1069
612	1688	1066
613	1690	1063
614	1693	1059
615	1695	1057
616	1697	1053
617	1699	1050
618	1702	1047
619	1704	1044
620	1707	1042
621	1710	1039
622	1713	1036
623	1715	1033
624	1717	1030
625	1720	1027
626	1724	1026
627	1726	1022
628	1729	1019
629	1731	1016
630	1733	1013
631	1735	1010
632	1737	1007
633	1742	1006
634	1745	1003
635	1748	1000
636	1751	998
637	1754	995
638	1756	992
639	1759	989
640	1762	987
641	1764	984
642	1766	980
643	1770	978
644	1772	975
645	1775	973
646	1778	970
647	1780	967
648	1783	964
649	1785	961
650	1788	958
651	1791	955
652	1793	952
653	1795	949
654	1797	946
655	1801	944
656	1803	941
657	1806	938
658	1810	936
659	1813	934
660	1815	931
661	1817	928
662	1820	925
663	1822	922
664	1824	918
665	1825	915
666	1828	912
667	1832	910
668	1837	908
669	1839	906
670	1841	903
671	1844	900
672	1845	896
673	1847	893
674	1849	890
675	1851	887
676	1853	884
677	1855	881
678	1857	878
679	1859	875
680	1861	872
681	1863	869
682	1866	866
683	1868	863
684	1870	860
685	1873	857
686	1874	854
687	1877	851
688	1878	848
689	1880	844
690	1882	841
691	1884	838
692	1885	835
693	1887	832
694	1889	829
695	1891	826
696	1893	823
697	1894	819
698	1896	816
699	1897	813
700	1900	810
701	1902	807
702	1904	804
703	1906	801
704	1908	798
705	1910	795
706	1912	792
707	1914	789
708	1918	787
709	1920	784
710	1922	781
711	1925	778
712	1928	776
713	1930	773
714	1932	770
715	1935	767
716	1937	764
717	1939	761
718	1941	758
719	1943	755
720	1945	752
721	1948	750
722	1950	747
723	1952	744
724	1954	741
725	1957	738
726	1959	735
727	1963	733
728	1965	730
729	1968	727
730	1970	724
731	1971	721
732	1974	719
733	1976	716
734	1978	713
735	1980	710
736	1984	708
737	1985	704
738	1987	702
739	1989	699
740	1992	696
741	1994	693
742	1995	690
743	1997	687
744	2001	685
745	2003	682
746	2005	679
747	2008	676
748	2010	673
749	2011	670
750	2013	667
751	2015	664
752	2017	661
753	2019	658
754	2022	656
755	2024	653
756	2026	650
757	2028	647
758	2030	644
759	2032	641
760	2034	638
761	2036	635
762	2039	633
763	2040	630
764	2042	627
765	2045	624
766	2047	621
767	2049	618
768	2051	616
769	2053	613
770	2055	610
771	2056	607
772	2058	604
773	2060	601
774	2062	598
775	2064	596
776	2066	593
777	2068	590
778	2070	587
779	2072	584
780	2074	581
781	2076	578
782	2078	576
783	2081	573
784	2083	570
785	2085	567
786	2086	564
787	2089	562
788	2091	559
789	2093	556
790	2095	553
791	2098	551
792	2100	548
793	2102	545
794	2106	543
795	2108	540
796	2111	537
797	2112	534
798	2114	531
799	2116	529
800	2118	526
801	2121	523
802	2124	521
803	2126	518
804	2128	515
805	2130	512
806	2133	510
807	2135	507
808	2137	504
809	2145	503
810	2148	500
811	2150	497
812	2151	494
813	2154	492
814	2156	489
815	2159	486
816	2162	484
817	2164	481
818	2166	478
819	2168	476
820	2172	473
